id,name,price,category_id,stock,created_at
1,"Notebook Lenovo ThinkPad",850.00,1,15,2024-01-15
2,"Mouse Logitech MX Master",95.50,2,120,2024-01-20
3,"Teclado Mecánico Redragon",65.00,2,80,2024-02-01
4,"Monitor Samsung 27"" 4K",420.00,1,22,2024-02-10
5,"Auriculares Sony WH-1000XM5",320.00,3,35,2024-02-15
6,"Webcam Logitech C920",70.00,4,60,2024-03-01
7,"Hub USB-C 7 puertos",45.00,2,200,2024-03-05
8,"Disco SSD NVMe 1TB",110.00,1,90,2024-03-12
9,"Silla Ergonomica Ergohuman",750.00,5,10,2024-03-18
10,"Escritorio Ajustable Electrico",620.00,5,8,2024-03-22
11,"Impresora HP LaserJet",280.00,1,18,2024-04-01
12,"Router WiFi 6 TP-Link",130.00,6,55,2024-04-05
13,"Cable HDMI 2.1 3m",15.00,2,500,2024-04-10
14,"Microfono Blue Yeti",140.00,4,40,2024-04-15
15,"Adaptador USB-C a HDMI",25.00,2,300,2024-04-20
16,"Laptop HP Pavilion",670.00,1,12,2024-04-25
17,"Tablet Samsung Galaxy Tab",400.00,1,20,2024-05-02
18,"Smartphone Google Pixel",590.00,1,25,2024-05-08
19,"Smartwatch Apple Watch",380.00,7,30,2024-05-12
20,"Cargador Inalambrico 15W",22.00,2,150,2024-05-18
21,"Lampara LED Escritorio",40.00,5,45,2024-05-22
22,"Mousepad XXL",18.00,2,400,2024-05-28
23,"Teclado Apple Magic",110.00,2,35,2024-06-01
24,"Monitor Dell 24"" Full HD",180.00,1,28,2024-06-05
25,"Camara Sony Alpha a7 IV",2200.00,8,7,2024-06-10
26,"Lente Sony 24-70mm f/2.8",1800.00,8,5,2024-06-15
27,"Tripode Manfrotto",150.00,8,19,2024-06-20
28,"Bateria Externa 20000mAh",35.00,2,110,2024-06-25
29,"Cable USB-C Carga Rapida",12.00,2,600,2024-07-01
30,"Alexa Echo Dot 5ta Gen",45.00,9,85,2024-07-05
31,"Bombilla Inteligente WiFi",18.00,9,200,2024-07-10
32,"Enchufe Inteligente TP-Link",20.00,9,170,2024-07-15
33,"Termostato Nest",200.00,9,22,2024-07-20
34,"Parlante Bluetooth JBL",60.00,3,50,2024-07-25
35,"Auriculares Inalambricos Xiaomi",30.00,3,95,2024-08-01
36,"Proyector Epson Home Cinema",550.00,10,9,2024-08-05
37,"Pantalla Proyeccion 120""",80.00,10,14,2024-08-10
38,"NAS Synology 4 bahias",350.00,6,6,2024-08-15
39,"Disco Duro Externo 4TB",95.00,6,40,2024-08-20
40,"Tarjeta SD 256GB V30",28.00,8,65,2024-08-25
41,"Estabilizador DJI Ronin",380.00,8,4,2024-09-01
42,"Licencia Microsoft Office",70.00,11,999,2024-09-05
43,"Antivirus Bitdefender 1 año",30.00,11,999,2024-09-10
44,"Software Edicion Video DaVinci",0.00,11,999,2024-09-15
45,"Curso Online Udemy Python",12.00,11,999,2024-09-20
46,"Libro Clean Code",35.00,12,150,2024-09-25
47,"Libro Design Patterns",42.00,12,120,2024-10-01
48,"Libro PHP 8 Objects Patterns",55.00,12,80,2024-10-05
49,"Mochila para Notebook",60.00,2,45,2024-10-10
50,"Funda Notebook 15.6""",22.00,2,90,2024-10-15
51,"Poster Desarrollo Web",8.00,5,250,2024-10-20
52,"Planta Artificial Escritorio",25.00,5,60,2024-10-25
